checked,is_technic,is_electric,is_train,set_num,name,year,theme_id,num_parts,comment
1,1,1,0,88004-1,Power Functions Servo Motor,2013,438,1,///!!!
1,1,1,0,88005-1,Light,2018,655,1,///!!!
1,1,1,0,88006-1,Move Hub,2019,655,1,///!!!
1,1,1,0,88009-1,Hub (Battery Box),2019,655,1,///!!!
1,1,1,0,880-1,Supplementary Set,1979,4,22,//////!!!!!!
1,1,1,0,88010-1,Remote Control,2019,655,1,///!!!
1,1,1,1,88011-1,Train Motor,2019,655,7,//////!!!!!!
1,1,1,0,88012-1,Technic Hub,2020,655,1,///!!!
1,1,1,0,88013-1,Technic Large Motor,2020,655,1,///!!!
1,1,1,0,88014-1,Technic XL Motor,2020,655,1,///1!!
1,1,1,0,88015-1,Battery Box,2021,655,1,///!!!
1,1,1,0,88016-1,Technic Large Hub,2021,258,2,///!!!
1,1,1,0,88017-1,Large Angular Motor,2021,655,1,///!!!
1,1,1,0,88018-1,Medium Angular Motor,2021,655,1,///!!!
1,1,1,1,8866-1,Train Motor (RC),2009,438,7,//////!!!!!!
1,1,1,0,8869-1,Power Functions Control Switch,2009,438,1,///!!!
1,1,1,0,8870-1,Power Functions Light,2009,438,1,///!!!
1,1,1,0,8871-1,Power Functions Extension Wire 50cm,2009,438,1,///!!!
1,1,1,0,8872-1,Forklift Transporter,1993,1,763,///!!!
1,1,1,0,8878-1,Rechargeable Battery Box,2009,438,1,///!!!
1,1,1,0,8879-1,IR Speed Remote Control,2009,438,1,///!!!Controls!!!
1,1,1,0,8880-1,Super Car,1994,1,1346,///!!!Legendary!!!
1,1,1,0,8881-1,Power Functions Battery Box,2008,438,1,///!!!
1,1,1,0,8882-1,Power Functions XL-Motor,2008,438,1,///!!!
1,1,1,0,8883-1,Power Functions M-Motor,2008,438,1,///!!!
1,1,1,0,8884-1,Power Functions IR Receiver,2008,438,1,///!!!
1,1,1,0,8885-1,Power Functions IR Remote Control,2008,438,1,///!!!
1,1,1,0,8886-1,Power Functions Extension Wire,2008,438,1,///!!!
1,1,1,0,8887-1,Power Functions Transformer 10VDC,2009,438,1,///!!!
1,1,1,0,9004-1,Activity Playthings,1986,516,0,///!!!
1,1,1,0,9006-1,Play and Build Center,1986,516,14,///!!!
1,1,1,0,9008-1,Baby Set,1986,516,15,///!!!
1,1,1,0,9120-1,Light and Sound,2000,516,5,
1,1,1,0,9203-2,Tech Machines Set,1998,516,122,///!!!
1,1,1,0,9206-1,Tech Machines Set,2008,516,120,///!!!
1,1,1,0,9392-1,Quad Bike,2012,1,199,///!!!
1,1,1,0,9395-1,Pick-Up Tow Truck,2012,1,954,///!!!
1,1,1,0,9396-1,Helicopter,2012,1,1056,///!!!
1,1,1,0,9397-1,Logging Truck,2012,1,1308,///!!!
1,1,1,0,9398-1,4 x 4 Crawler,2012,1,1327,///!!!
1,1,1,0,9457-1,Fangpyre Wrecking Ball,2012,435,415,
1,1,1,0,951-2,Lego TC logo Starter Pack,1988,529,13,///!!!
1,1,1,0,9580-1,WeDo Robotics Construction Set,2008,521,160,///!!!
1,1,1,0,9581-1,WeDo Robotics USB Hub,2008,521,1,//////!!!!!!
1,1,1,0,9583-1,WeDo Robotics Motion Sensor,2009,521,1,///!!!
1,1,1,0,9584-1,WeDo Robotics Tilt Sensor,2009,521,1,///!!!
1,1,1,0,9585-1,WeDo Resource Set,2011,521,326,///!!!
1,1,1,0,960-1,Power Pack,1978,4,22,///!!!
1,1,1,0,9605-1,4.5V Technic Resource Set,1990,532,1534,///!!!
